FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,FIGHT_STUB,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,EVENT_STUB,DATE_YMD,URL,FIGHT_WINNER
10647,1227,Glover Teixeira v Nikita Krylov,Light Heavyweight,Decision - Split,3,05:00,3 Rnd (5-5-5),Yves Lavigne,Decision - Split,5,0,glover-teixeira-v-nikita-krylov,UFC Fight Night: Cowboy vs. Gaethje,"September 14, 2019","Vancouver, British Columbia, Canada",ufc-fight-night-cowboy-vs-gaethje,14/09/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-cowboy-vs-gaethje-1227/glover-teixeira-v-nikita-krylov-10647/,Glover Teixeira
10651,1227,Misha Cirkunov v Jimmy Crute,Light Heavyweight,Submission,1,03:38,3 Rnd (5-5-5),Yves Lavigne,Peruvian Necktie On Ground,3,38,misha-cirkunov-v-jimmy-crute,UFC Fight Night: Cowboy vs. Gaethje,"September 14, 2019","Vancouver, British Columbia, Canada",ufc-fight-night-cowboy-vs-gaethje,14/09/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-cowboy-vs-gaethje-1227/misha-cirkunov-v-jimmy-crute-10651/,Misha Cirkunov
10655,1227,Chas Skelly v Jordan Griffin,Featherweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,chas-skelly-v-jordan-griffin,UFC Fight Night: Cowboy vs. Gaethje,"September 14, 2019","Vancouver, British Columbia, Canada",ufc-fight-night-cowboy-vs-gaethje,14/09/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-cowboy-vs-gaethje-1227/chas-skelly-v-jordan-griffin-10655/,Chas Skelly
10720,1233,Cristiane Justino v Felicia Spencer,Women&#039;s Featherweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,cristiane-justino-v-felicia-spencer,UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",ufc-240-holloway-vs-edgar,27/07/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-240-holloway-vs-edgar-1233/cristiane-justino-v-felicia-spencer-10720/,Cristiane Justino
10724,1233,Alexis Davis v Viviane Araujo,Women&#039;s Flyweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,alexis-davis-v-viviane-araujo,UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",ufc-240-holloway-vs-edgar,27/07/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-240-holloway-vs-edgar-1233/alexis-davis-v-viviane-araujo-10724/,Viviane Araujo
10842,1243,Cub Swanson v Shane Burgos,Featherweight,Decision - Split,3,05:00,3 Rnd (5-5-5),Yves Lavigne,Decision - Split,5,0,cub-swanson-v-shane-burgos,UFC Fight Night: Iaquinta vs. Cowboy,"May 04, 2019","Ottawa, Ontario, Canada",ufc-fight-night-iaquinta-vs-cowboy,04/05/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-iaquinta-vs-cowboy-1243/cub-swanson-v-shane-burgos-10842/,Shane Burgos
10846,1243,Macy Chiasson v Sarah Moras,Women&#039;s Bantamweight,KO/TKO,2,02:22,3 Rnd (5-5-5),Yves Lavigne,Punches to Head From Mount,2,22,macy-chiasson-v-sarah-moras,UFC Fight Night: Iaquinta vs. Cowboy,"May 04, 2019","Ottawa, Ontario, Canada",ufc-fight-night-iaquinta-vs-cowboy,04/05/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-iaquinta-vs-cowboy-1243/macy-chiasson-v-sarah-moras-10846/,Macy Chiasson
10850,1243,Arjan Bhullar v Juan Adams,Heavyweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,arjan-bhullar-v-juan-adams,UFC Fight Night: Iaquinta vs. Cowboy,"May 04, 2019","Ottawa, Ontario, Canada",ufc-fight-night-iaquinta-vs-cowboy,04/05/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-iaquinta-vs-cowboy-1243/arjan-bhullar-v-juan-adams-10850/,Arjan Bhullar
11041,1259,Hakeem Dawodu v Kyle Bochniak,Featherweight,Decision - Split,3,05:00,3 Rnd (5-5-5),Yves Lavigne,Decision - Split,5,0,hakeem-dawodu-v-kyle-bochniak,UFC 231: Holloway vs. Ortega,"December 08, 2018","Toronto, Ontario, Canada",ufc-231-holloway-vs-ortega,08/12/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-231-holloway-vs-ortega-1259/hakeem-dawodu-v-kyle-bochniak-11041/,Hakeem Dawodu
11044,1259,Olivier Aubin-Mercier v Gilbert Burns,Lightweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,olivier-aubin-mercier-v-gilbert-burns,UFC 231: Holloway vs. Ortega,"December 08, 2018","Toronto, Ontario, Canada",ufc-231-holloway-vs-ortega,08/12/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-231-holloway-vs-ortega-1259/olivier-aubin-mercier-v-gilbert-burns-11044/,Gilbert Burns
