FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,FIGHT_WINNER,LOCAL,VISITOR,GENDER,YearMonth
10647,1227,Glover Teixeira v Nikita Krylov,heavyweight,decisionsplit,3,300,3 Rnd (5-5-5),Yves Lavigne,Decision - Split,5,0,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,"Vancouver, British Columbia, Canada",Glover Teixeira,Glover Teixeira,Nikita Krylov,male,2019-09
10651,1227,Misha Cirkunov v Jimmy Crute,heavyweight,submission,1,218,3 Rnd (5-5-5),Yves Lavigne,Peruvian Necktie On Ground,3,38,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,"Vancouver, British Columbia, Canada",Misha Cirkunov,Misha Cirkunov,Jimmy Crute,male,2019-09
10655,1227,Chas Skelly v Jordan Griffin,featherweight,decisionunanimous,3,300,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,"Vancouver, British Columbia, Canada",Chas Skelly,Chas Skelly,Jordan Griffin,male,2019-09
10720,1233,Cristiane Justino v Felicia Spencer,featherweight,decisionunanimous,3,300,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,UFC 240: Holloway vs. Edgar,2019-07-27,"Edmonton, Alberta, Canada",Cristiane Justino,Cristiane Justino,Felicia Spencer,female,2019-07
10724,1233,Alexis Davis v Viviane Araujo,flyweight,decisionunanimous,3,300,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,UFC 240: Holloway vs. Edgar,2019-07-27,"Edmonton, Alberta, Canada",Viviane Araujo,Alexis Davis,Viviane Araujo,female,2019-07
10842,1243,Cub Swanson v Shane Burgos,featherweight,decisionsplit,3,300,3 Rnd (5-5-5),Yves Lavigne,Decision - Split,5,0,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,"Ottawa, Ontario, Canada",Shane Burgos,Cub Swanson,Shane Burgos,male,2019-05
10846,1243,Macy Chiasson v Sarah Moras,bantamweight,kotko,2,142,3 Rnd (5-5-5),Yves Lavigne,Punches to Head From Mount,2,22,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,"Ottawa, Ontario, Canada",Macy Chiasson,Macy Chiasson,Sarah Moras,female,2019-05
10850,1243,Arjan Bhullar v Juan Adams,heavyweight,decisionunanimous,3,300,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,"Ottawa, Ontario, Canada",Arjan Bhullar,Arjan Bhullar,Juan Adams,male,2019-05
11041,1259,Hakeem Dawodu v Kyle Bochniak,featherweight,decisionsplit,3,300,3 Rnd (5-5-5),Yves Lavigne,Decision - Split,5,0,UFC 231: Holloway vs. Ortega,2018-12-08,"Toronto, Ontario, Canada",Hakeem Dawodu,Hakeem Dawodu,Kyle Bochniak,male,2018-12
11044,1259,Olivier Aubin-Mercier v Gilbert Burns,lightweight,decisionunanimous,3,300,3 Rnd (5-5-5),Yves Lavigne,Decision,5,0,UFC 231: Holloway vs. Ortega,2018-12-08,"Toronto, Ontario, Canada",Gilbert Burns,Olivier Aubin-Mercier,Gilbert Burns,male,2018-12
